COL1	TIME	ACC_X	ACC_Y	ACC_Z	GYR_X	GYR_Y	GYR_Z	MAG_X	MAG_Y	MAG_Z	LACC_X	LACC_Y	LACC_Z	QUAT_X	QUAT_Y	QUAT_Z	QUAT_W
1 0.00 0 0.661 -9.539 2.504 -0.030 -0.019 0.013 -434.867 599.909 2279.865 -0.068 0.086 0.012 -0.61 0.03 -0.09 0.79
1 0.01 1 0.642 -9.505 2.595 -0.031 -0.015 0.017 -509.968 419.876 2249.884 -0.049 0.052 -0.079 -0.61 0.03 -0.09 0.79
1 0.02 2 0.589 -9.515 2.600 -0.034 -0.011 0.018 -509.968 569.929 2354.966 0.004 0.062 -0.084 -0.61 0.03 -0.09 0.79
1 0.03 3 0.546 -9.639 2.639 -0.039 -0.015 0.010 -509.968 569.929 2354.966 0.047 0.187 -0.122 -0.61 0.03 -0.09 0.79
1 0.04 4 0.642 -9.424 2.653 -0.032 -0.027 0.017 -524.958 539.948 2264.875 -0.049 -0.029 -0.135 -0.61 0.03 -0.09 0.79
1 0.05 5 0.723 -9.582 2.567 -0.030 -0.022 0.017 -524.958 539.948 2264.875 -0.130 0.130 -0.048 -0.61 0.03 -0.09 0.79
1 0.06 6 0.608 -9.635 2.648 -0.024 -0.022 0.012 -374.906 539.948 2219.904 -0.016 0.182 -0.129 -0.61 0.03 -0.09 0.79
1 0.07 7 0.661 -9.524 2.571 -0.025 -0.026 0.017 -269.974 509.968 2219.904 -0.068 0.072 -0.052 -0.61 0.03 -0.09 0.79
1 0.08 8 0.546 -9.568 2.610 -0.026 -0.014 0.024 -344.925 509.968 2159.943 0.047 0.116 -0.090 -0.61 0.03 -0.09 0.79
1 0.09 9 0.723 -9.548 2.701 -0.026 -0.016 0.021 -374.906 509.968 2159.943 -0.131 0.097 -0.180 -0.61 0.03 -0.09 0.79
1 0.10 10 0.618 -9.515 2.658 -0.037 -0.019 0.028 -374.906 509.968 2159.943 -0.025 0.063 -0.136 -0.61 0.03 -0.09 0.79
1 0.11 11 0.623 -9.577 2.595 -0.027 -0.027 0.019 -434.867 494.978 2204.914 -0.030 0.126 -0.073 -0.61 0.03 -0.09 0.79
1 0.12 12 0.599 -9.644 2.629 -0.018 -0.032 0.015 -434.867 494.978 2204.914 -0.006 0.193 -0.107 -0.61 0.03 -0.09 0.79
1 0.13 13 0.594 -9.659 2.600 -0.014 -0.020 0.026 -374.906 509.968 2159.943 -0.001 0.207 -0.078 -0.61 0.03 -0.09 0.79
1 0.14 14 0.460 -9.553 2.524 -0.022 -0.025 0.020 -464.997 449.857 2249.884 0.134 0.102 -0.001 -0.61 0.03 -0.09 0.79
