COL1	TIME	ACC_X	ACC_Y	ACC_Z	GYR_X	GYR_Y	GYR_Z	MAG_X	MAG_Y	MAG_Z	LACC_X	LACC_Y	LACC_Z	QUAT_X	QUAT_Y	QUAT_Z	QUAT_W
1 0.00 0 0.661 -9.448 3.486 -1.831 -1.556 2.319 -98.636 2352.717 -4047.663 -0.230 0.215 -0.230 0.01 -0.58 0.82 0.02
1 0.01 1 0.680 -9.572 3.472 -1.160 -0.641 1.892 -98.636 2352.717 -4047.663 -0.251 0.339 -0.217 0.01 -0.58 0.82 0.02
1 0.02 2 0.694 -9.304 3.433 0.244 1.709 1.770 -98.636 2322.587 -4017.683 -0.266 0.070 -0.179 0.01 -0.58 0.82 0.02
1 0.03 3 0.637 -9.170 3.424 0.488 1.129 1.373 -98.636 2322.587 -4017.683 -0.210 -0.064 -0.169 0.01 -0.58 0.82 0.02
1 0.04 4 0.637 -9.127 3.443 0.336 0.122 1.251 -23.685 2277.616 -4092.634 -0.211 -0.106 -0.186 0.01 -0.58 0.82 0.02
1 0.05 5 0.503 -9.026 3.299 -0.122 -0.885 0.885 -83.646 2412.678 -3927.591 -0.075 -0.206 -0.040 0.01 -0.58 0.82 0.02
1 0.06 6 0.388 -9.022 3.338 -1.099 -0.732 1.007 -68.655 2322.587 -3942.582 0.040 -0.210 -0.078 0.01 -0.58 0.82 0.02
1 0.07 7 0.474 -9.151 3.328 -0.641 -1.709 0.519 81.247 2397.688 -3942.582 -0.047 -0.081 -0.069 0.01 -0.58 0.82 0.02
1 0.08 8 0.302 -9.266 3.323 1.892 -1.923 -0.732 81.247 2397.688 -3942.582 0.126 0.034 -0.063 0.01 -0.58 0.82 0.02
1 0.09 9 0.460 -9.477 3.390 1.617 -1.617 -1.160 -158.597 2262.626 -3882.621 -0.030 0.246 -0.127 0.01 -0.58 0.82 0.02
1 0.10 10 0.766 -9.668 3.587 0.061 -0.824 -1.282 -158.597 2262.626 -3882.621 -0.334 0.439 -0.320 0.01 -0.58 0.82 0.02
1 0.11 11 0.838 -9.515 3.491 -1.404 -0.854 -1.251 -98.636 2277.616 -4047.663 -0.402 0.286 -0.223 0.01 -0.58 0.82 0.02
1 0.12 12 0.694 -9.371 3.534 -1.129 -0.763 0.214 6.146 2172.685 -4092.634 -0.250 0.142 -0.267 0.01 -0.58 0.82 0.02
1 0.13 13 0.642 -9.280 3.500 -0.610 -0.031 1.282 -8.694 2337.577 -3927.591 -0.196 0.051 -0.235 0.01 -0.58 0.82 0.02
1 0.14 14 0.608 -9.098 3.386 0.458 -0.214 1.923 81.247 2247.636 -4017.683 -0.163 -0.131 -0.119 0.01 -0.58 0.82 0.02
1 0.15 15 0.417 -9.065 3.323 1.770 -0.427 3.021 81.247 2247.636 -4017.683 0.027 -0.164 -0.055 0.01 -0.58 0.82 0.02
1 0.16 16 0.287 -9.247 3.381 1.770 -1.160 3.845 51.117 2352.717 -4047.663 0.152 0.019 -0.109 0.01 -0.58 0.82 0.02
1 0.17 17 0.421 -9.228 3.534 1.068 0.122 2.472 51.117 2352.717 -4047.663 0.013 0.001 -0.259 0.01 -0.58 0.82 0.02
1 0.18 18 0.402 -9.438 3.630 0.580 1.312 -0.031 -23.685 2397.688 -4047.663 0.027 0.213 -0.352 0.01 -0.58 0.82 0.02
1 0.19 19 0.670 -9.448 3.457 0.763 1.465 -2.289 36.126 2262.626 -4032.673 -0.243 0.223 -0.176 0.01 -0.58 0.82 0.02
1 0.20 20 0.675 -9.343 3.448 0.671 0.275 -3.448 -8.694 2412.678 -3957.572 -0.241 0.120 -0.162 0.01 -0.58 0.82 0.02
1 0.21 21 0.891 -9.347 3.381 1.343 -0.702 -1.221 -38.675 2307.597 -4002.692 -0.451 0.126 -0.093 0.01 -0.58 0.82 0.02
1 0.22 22 0.752 -9.285 3.467 1.282 -0.916 0.122 -38.675 2307.597 -4002.692 -0.307 0.065 -0.177 0.01 -0.58 0.82 0.02
1 0.23 23 0.804 -9.395 3.448 2.411 -0.549 1.465 -38.675 2187.675 -4002.692 -0.358 0.176 -0.154 0.01 -0.58 0.82 0.02
1 0.24 24 0.603 -9.371 3.424 1.587 -0.092 1.465 -38.675 2187.675 -4002.692 -0.156 0.154 -0.126 0.01 -0.58 0.82 0.02
1 0.25 25 0.431 -9.266 3.510 0.977 -1.282 0.244 -23.685 2247.636 -4017.683 0.015 0.050 -0.209 0.01 -0.58 0.82 0.02
1 0.26 26 0.378 -9.295 3.496 -0.153 -2.869 -0.580 -23.685 2127.714 -4122.614 0.068 0.079 -0.192 0.01 -0.58 0.82 0.02
1 0.27 27 0.512 -9.103 3.496 -2.197 -2.930 -0.458 -23.685 2277.616 -4122.614 -0.062 -0.113 -0.193 0.01 -0.58 0.82 0.02
1 0.28 28 0.623 -9.079 3.457 -1.373 -1.953 0.153 -98.636 2277.616 -3912.601 -0.170 -0.137 -0.156 0.01 -0.58 0.82 0.02
1 0.29 29 0.642 -9.055 3.438 -1.465 -0.977 0.549 -98.636 2277.616 -3912.601 -0.188 -0.161 -0.137 0.01 -0.58 0.82 0.02
1 0.30 30 0.656 -9.103 3.448 0.824 0.671 1.648 36.126 2262.626 -4002.692 -0.202 -0.113 -0.146 0.01 -0.58 0.82 0.02
1 0.31 31 0.790 -9.247 3.304 3.296 1.617 2.045 36.126 2262.626 -4002.692 -0.337 0.032 0.000 0.01 -0.58 0.82 0.02
1 0.32 32 0.584 -9.381 3.405 4.456 3.693 2.350 -23.685 2352.717 -4017.683 -0.133 0.168 -0.095 0.01 -0.58 0.82 0.02
1 0.33 33 0.469 -9.515 3.620 3.418 2.472 3.052 -83.646 2337.577 -3957.572 -0.021 0.304 -0.303 0.01 -0.57 0.82 0.02
1 0.34 34 0.493 -9.764 3.730 0.519 1.221 2.258 -68.655 2097.583 -4047.663 -0.055 0.557 -0.402 0.01 -0.57 0.82 0.02
1 0.35 35 0.297 -9.615 3.548 -1.587 0.000 1.923 -83.646 2262.626 -3957.572 0.138 0.409 -0.219 0.01 -0.57 0.82 0.02
1 0.36 36 0.383 -9.534 3.658 -2.716 -0.946 0.824 -83.646 2262.626 -3957.572 0.048 0.327 -0.330 0.01 -0.57 0.82 0.02
1 0.37 37 0.484 -9.323 3.615 -2.441 -0.977 0.824 -23.685 2247.636 -4092.634 -0.054 0.115 -0.290 0.01 -0.57 0.82 0.02
1 0.38 38 0.680 -9.242 3.496 -0.702 -0.885 0.153 -23.685 2247.636 -4092.634 -0.250 0.033 -0.172 0.01 -0.57 0.82 0.02
1 0.39 39 0.666 -8.979 3.323 1.678 -1.770 0.885 -38.675 2412.678 -4032.673 -0.234 -0.230 0.001 0.01 -0.57 0.82 0.02
1 0.40 40 0.680 -8.801 3.333 3.571 -2.258 0.214 126.218 2172.685 -3912.601 -0.247 -0.406 -0.006 0.01 -0.57 0.82 0.02
1 0.41 41 0.579 -8.663 3.318 4.852 -2.411 0.000 126.218 2172.685 -3912.601 -0.144 -0.543 0.013 0.01 -0.57 0.82 0.02
1 0.42 42 0.498 -8.663 3.381 2.258 -3.265 -0.305 -68.655 2172.685 -3912.601 -0.056 -0.538 -0.036 0.01 -0.57 0.82 0.02
