COL1	TIME	ACC_X	ACC_Y	ACC_Z	GYR_X	GYR_Y	GYR_Z	MAG_X	MAG_Y	MAG_Z	LACC_X	LACC_Y	LACC_Z	QUAT_X	QUAT_Y	QUAT_Z	QUAT_W
1 0.00 0 -0.646 -9.558 1.710 0.885 -1.434 0.885 104.932 -569.929 -3074.947 -0.049 -0.059 0.043 0.04 0.64 -0.77 0.01
1 0.01 1 -0.680 -9.553 1.786 0.214 -0.702 0.763 104.932 -569.929 -3074.947 -0.015 -0.064 -0.032 0.04 0.64 -0.77 0.01
1 0.02 2 -0.651 -9.620 1.738 -0.549 1.007 1.038 0.000 -524.958 -3149.898 -0.043 0.003 0.015 0.04 0.64 -0.77 0.01
1 0.03 3 -0.584 -9.596 1.681 -1.343 2.350 2.197 0.000 -524.958 -3149.898 -0.111 -0.020 0.073 0.04 0.64 -0.77 0.01
1 0.04 4 -0.824 -9.783 1.733 -3.418 3.693 3.998 14.990 -464.997 -3284.960 0.126 0.166 0.018 0.04 0.64 -0.77 0.01
1 0.05 5 -0.886 -9.826 1.786 -4.211 3.845 4.089 29.980 -329.935 -3194.869 0.183 0.209 -0.039 0.04 0.64 -0.77 0.01
1 0.06 6 -0.972 -9.735 1.781 -3.204 2.411 4.395 29.980 -329.935 -3194.869 0.263 0.117 -0.039 0.04 0.64 -0.77 0.01
1 0.07 7 -0.833 -9.841 1.815 -2.747 0.549 3.418 59.961 -599.909 -3119.917 0.110 0.223 -0.080 0.04 0.64 -0.77 0.01
1 0.08 8 -0.967 -9.821 1.710 -1.923 -1.465 2.930 59.961 -599.909 -3119.917 0.240 0.203 0.024 0.04 0.64 -0.77 0.01
1 0.09 9 -0.814 -9.879 1.805 -1.007 -2.350 1.770 164.893 -359.916 -3164.888 0.083 0.261 -0.073 0.04 0.64 -0.77 0.01
1 0.10 10 -0.608 -9.817 1.824 -0.153 -3.082 1.495 164.893 -359.916 -3164.888 -0.124 0.199 -0.092 0.04 0.64 -0.77 0.01
1 0.11 11 -0.666 -9.802 1.733 0.061 -1.862 1.495 179.883 -569.929 -3329.931 -0.066 0.185 0.001 0.04 0.64 -0.77 0.01
1 0.12 12 -0.675 -9.644 1.786 -0.244 -0.183 2.014 0.000 -494.978 -3149.898 -0.056 0.027 -0.049 0.04 0.64 -0.77 0.01
1 0.13 13 -0.685 -9.826 1.767 1.068 1.068 1.343 0.000 -494.978 -3149.898 -0.047 0.209 -0.029 0.04 0.64 -0.77 0.01
1 0.14 14 -0.752 -9.726 1.748 1.892 2.197 1.648 194.873 -509.968 -3134.908 0.017 0.110 -0.003 0.04 0.64 -0.77 0.01
1 0.15 15 -0.646 -9.649 1.671 0.824 1.495 0.488 194.873 -509.968 -3134.908 -0.090 0.034 0.077 0.04 0.64 -0.77 0.01
1 0.16 16 -0.781 -9.563 1.690 -0.031 1.404 0.824 59.961 -449.857 -3194.869 0.044 -0.052 0.059 0.04 0.64 -0.77 0.01
1 0.17 17 -0.790 -9.659 1.810 -0.488 0.763 1.740 59.961 -449.857 -3194.869 0.053 0.044 -0.060 0.04 0.64 -0.77 0.01
1 0.18 18 -0.876 -9.841 1.743 -1.068 -0.092 2.808 194.873 -434.867 -3314.940 0.137 0.227 0.008 0.04 0.64 -0.77 0.01
1 0.19 19 -0.900 -9.773 1.767 -1.251 -0.275 3.265 59.961 -494.978 -3119.917 0.157 0.160 -0.016 0.04 0.64 -0.77 0.01
1 0.20 20 -0.680 -9.778 1.805 -1.709 -1.617 3.143 59.961 -494.978 -3119.917 -0.067 0.165 -0.055 0.04 0.64 -0.77 0.01
1 0.21 21 -0.690 -9.836 1.757 -0.763 -2.441 2.594 119.922 -464.997 -3059.957 -0.062 0.222 -0.009 0.04 0.64 -0.77 0.01
1 0.22 22 -0.584 -9.793 1.748 -0.702 -2.380 2.075 119.922 -464.997 -3059.957 -0.168 0.179 0.001 0.04 0.64 -0.77 0.01
1 0.23 23 -0.445 -9.831 1.896 -0.092 -1.343 1.801 -29.980 -569.929 -3194.869 -0.306 0.218 -0.147 0.04 0.64 -0.77 0.01
1 0.24 24 -0.579 -9.730 1.820 -0.458 0.183 1.251 -29.980 -569.929 -3194.869 -0.170 0.117 -0.070 0.04 0.64 -0.77 0.01
1 0.25 25 -0.484 -9.678 1.781 -0.427 1.434 1.526 344.925 -434.867 -3059.957 -0.265 0.064 -0.031 0.04 0.64 -0.77 0.01
1 0.26 26 -0.575 -9.711 1.853 0.031 3.082 1.526 29.980 -524.958 -3254.979 -0.173 0.098 -0.101 0.04 0.64 -0.77 0.01
1 0.27 27 -0.694 -9.735 1.671 -0.031 3.815 0.427 29.980 -524.958 -3254.979 -0.053 0.122 0.082 0.04 0.64 -0.77 0.01
1 0.28 28 -0.761 -9.639 1.786 0.153 3.326 -1.038 134.912 -449.857 -3149.898 0.015 0.027 -0.030 0.04 0.64 -0.77 0.01
1 0.29 29 -0.737 -9.682 1.738 0.732 2.991 -1.648 134.912 -449.857 -3149.898 -0.007 0.070 0.020 0.04 0.64 -0.77 0.01
1 0.30 30 -0.512 -9.582 1.729 -0.214 2.716 -2.045 59.961 -494.978 -3119.917 -0.229 -0.030 0.031 0.04 0.64 -0.77 0.01
1 0.31 31 -0.632 -9.592 1.887 -0.061 2.899 -2.472 59.961 -494.978 -3119.917 -0.104 -0.021 -0.126 0.04 0.64 -0.77 0.01
1 0.32 32 -0.713 -9.582 1.820 0.458 3.235 -1.953 194.873 -389.896 -3239.989 -0.018 -0.030 -0.057 0.04 0.64 -0.77 0.01
1 0.33 33 -0.603 -9.750 1.786 -0.732 4.791 -0.641 194.873 -509.968 -3164.888 -0.126 0.137 -0.022 0.04 0.64 -0.77 0.01
1 0.34 34 -0.627 -9.702 1.801 -0.549 5.585 -0.916 194.873 -509.968 -3164.888 -0.099 0.089 -0.036 0.04 0.64 -0.77 0.01
1 0.35 35 -0.661 -9.692 1.762 -1.556 6.744 -0.183 44.971 -629.890 -3134.908 -0.064 0.079 0.002 0.04 0.64 -0.77 0.01
1 0.36 36 -0.800 -9.615 1.652 -1.678 5.188 0.000 119.922 -509.968 -3059.957 0.076 0.002 0.110 0.04 0.64 -0.77 0.01
1 0.37 37 -0.795 -9.678 1.810 -1.587 3.662 0.732 209.863 -569.929 -3149.898 0.070 0.064 -0.050 0.04 0.64 -0.77 0.01
1 0.38 38 -0.776 -9.587 1.724 -1.190 3.662 0.519 209.863 -569.929 -3149.898 0.049 -0.027 0.035 0.04 0.64 -0.77 0.01
1 0.39 39 -0.891 -9.726 1.729 -1.648 2.411 0.702 134.912 -449.857 -3254.979 0.163 0.112 0.030 0.04 0.64 -0.77 0.01
1 0.40 40 -0.867 -9.817 1.599 -2.441 1.190 1.373 164.893 -539.948 -3239.989 0.138 0.203 0.157 0.04 0.64 -0.77 0.01
1 0.41 41 -0.809 -9.884 1.863 -1.984 0.641 1.099 164.893 -539.948 -3239.989 0.080 0.270 -0.108 0.04 0.64 -0.77 0.01
1 0.42 42 -0.680 -9.979 1.743 -1.862 0.641 0.671 134.912 -599.909 -3194.869 -0.052 0.365 0.009 0.04 0.64 -0.77 0.01
1 0.43 43 -0.790 -10.056 1.743 -0.854 0.214 0.153 -29.980 -449.857 -3299.950 0.058 0.441 0.007 0.04 0.64 -0.77 0.01
