COL1	TIME	ACC_X	ACC_Y	ACC_Z	GYR_X	GYR_Y	GYR_Z	MAG_X	MAG_Y	MAG_Z	LACC_X	LACC_Y	LACC_Z	QUAT_X	QUAT_Y	QUAT_Z	QUAT_W
1 0.00 0 0.752 -9.745 1.638 -1.068 0.977 0.854 -19.337 2911.853 -2924.595 -0.031 0.104 -0.033 -0.01 -0.65 0.76 0.07
1 0.01 1 0.800 -9.793 1.690 -0.580 1.343 0.977 25.483 2956.824 -2894.614 -0.079 0.152 -0.086 -0.01 -0.65 0.76 0.07
1 0.02 2 0.733 -9.802 1.604 0.061 0.885 1.312 25.483 2956.824 -2894.614 -0.013 0.162 0.002 -0.01 -0.65 0.76 0.07
1 0.03 3 0.766 -9.730 1.585 0.092 0.854 1.129 -94.289 2791.931 -2864.634 -0.047 0.090 0.021 -0.01 -0.65 0.76 0.07
1 0.04 4 0.713 -9.635 1.767 -0.671 0.580 1.099 40.474 2971.814 -3059.657 0.005 -0.006 -0.160 -0.01 -0.65 0.76 0.07
1 0.05 5 0.867 -9.793 1.647 -0.641 0.610 1.068 -19.337 2881.873 -2819.663 -0.148 0.152 -0.039 -0.01 -0.65 0.76 0.07
1 0.06 6 0.675 -9.807 1.580 -0.061 0.977 1.617 -19.337 2881.873 -2819.663 0.042 0.167 0.029 -0.01 -0.65 0.76 0.07
1 0.07 7 0.680 -9.773 1.609 -0.458 0.641 1.343 -34.328 3046.915 -2984.556 0.036 0.133 0.002 -0.01 -0.65 0.76 0.07
1 0.08 8 0.718 -9.654 1.599 0.153 0.916 1.129 130.565 2881.873 -2969.565 -0.005 0.014 0.014 -0.01 -0.65 0.76 0.07
1 0.09 9 0.709 -9.869 1.652 0.275 1.007 1.923 130.565 2881.873 -2969.565 0.003 0.229 -0.037 -0.01 -0.65 0.76 0.07
1 0.10 10 0.627 -9.697 1.777 -0.031 1.404 1.862 25.483 2956.824 -2894.614 0.082 0.057 -0.160 -0.01 -0.65 0.76 0.07
1 0.11 11 0.613 -9.745 1.628 -0.610 1.434 1.801 25.483 2956.824 -2894.614 0.094 0.105 -0.009 -0.01 -0.65 0.76 0.07
1 0.12 12 0.776 -9.706 1.628 -1.160 2.075 1.587 -49.318 2761.951 -2969.565 -0.072 0.067 -0.008 -0.01 -0.65 0.76 0.07
1 0.13 13 0.613 -9.769 1.619 -1.129 1.801 0.916 -49.318 2761.951 -2969.565 0.089 0.129 0.001 -0.01 -0.65 0.76 0.07
1 0.14 14 0.594 -9.797 1.556 -0.763 1.282 0.702 115.575 3001.944 -2954.575 0.108 0.158 0.063 -0.01 -0.65 0.76 0.07
1 0.15 15 0.656 -9.807 1.494 -1.129 0.580 0.427 280.617 2986.954 -2864.634 0.045 0.167 0.125 -0.01 -0.65 0.76 0.07
1 0.16 16 0.627 -9.797 1.489 0.336 0.275 0.793 280.617 2986.954 -2864.634 0.073 0.157 0.129 -0.01 -0.65 0.76 0.07
1 0.17 17 0.718 -9.826 1.547 0.793 0.214 0.732 -49.318 2881.873 -2819.663 -0.019 0.186 0.073 -0.01 -0.65 0.76 0.07
1 0.18 18 0.675 -9.826 1.532 1.068 -0.122 0.549 -49.318 2881.873 -2819.663 0.024 0.187 0.090 -0.01 -0.65 0.76 0.07
1 0.19 19 0.627 -9.692 1.657 0.916 -0.580 0.916 55.614 2881.873 -2864.634 0.072 0.053 -0.032 -0.01 -0.65 0.76 0.07
1 0.20 20 0.690 -9.769 1.566 0.122 -1.770 0.916 55.614 2881.873 -2864.634 0.010 0.130 0.061 -0.01 -0.65 0.76 0.07
1 0.21 21 0.651 -9.773 1.652 0.397 -2.380 0.824 -19.337 2881.873 -2924.595 0.048 0.135 -0.024 -0.01 -0.65 0.76 0.07
1 0.22 22 0.623 -9.706 1.580 -0.244 -3.174 0.763 10.493 3001.944 -2834.653 0.076 0.068 0.050 -0.01 -0.65 0.76 0.07
1 0.23 23 0.752 -9.773 1.566 -0.763 -3.571 0.641 10.493 3001.944 -2834.653 -0.054 0.136 0.066 -0.01 -0.65 0.76 0.07
1 0.24 24 0.623 -9.831 1.633 0.000 -4.547 0.519 175.536 2836.902 -2819.663 0.076 0.193 -0.001 -0.01 -0.65 0.76 0.07
1 0.25 25 0.646 -9.783 1.542 -0.031 -5.005 1.129 175.536 2836.902 -2819.663 0.053 0.145 0.090 -0.01 -0.65 0.76 0.07
1 0.26 26 0.651 -9.682 1.542 0.305 -4.822 0.946 40.474 2821.912 -2879.624 0.048 0.045 0.091 -0.01 -0.65 0.76 0.07
1 0.27 27 0.757 -9.711 1.638 0.549 -5.157 1.007 -19.337 2881.873 -2924.595 -0.056 0.074 -0.003 -0.01 -0.65 0.76 0.07
1 0.28 28 0.642 -9.678 1.628 0.763 -5.646 1.099 -19.337 2956.824 -2819.663 0.059 0.041 0.008 -0.01 -0.65 0.76 0.07
1 0.29 29 0.843 -9.740 1.599 0.702 -5.371 1.007 100.584 2791.931 -2864.634 -0.142 0.103 0.039 -0.01 -0.65 0.76 0.07
1 0.30 30 0.694 -9.702 1.666 0.397 -5.066 1.221 100.584 2791.931 -2864.634 0.008 0.066 -0.024 -0.01 -0.65 0.76 0.07
1 0.31 31 0.704 -9.678 1.676 0.610 -4.852 1.556 40.474 2776.941 -2984.556 -0.001 0.042 -0.031 -0.01 -0.64 0.76 0.07
1 0.32 32 0.752 -9.697 1.695 0.732 -5.371 1.221 40.474 2776.941 -2984.556 -0.048 0.062 -0.048 -0.01 -0.64 0.76 0.07
1 0.33 33 0.828 -9.750 1.628 1.099 -4.181 1.587 40.474 2926.843 -2879.624 -0.124 0.115 0.021 -0.01 -0.64 0.76 0.06
1 0.34 34 0.824 -9.592 1.590 0.031 -4.456 2.014 70.604 2971.814 -2954.575 -0.119 -0.043 0.061 -0.01 -0.64 0.76 0.06
1 0.35 35 0.814 -9.850 1.690 -0.275 -4.303 1.862 10.493 2851.892 -2909.604 -0.109 0.216 -0.038 -0.01 -0.64 0.76 0.06
1 0.36 36 0.646 -9.750 1.590 0.183 -4.822 1.343 115.575 3001.944 -2879.624 0.058 0.116 0.064 -0.01 -0.64 0.76 0.06
1 0.37 37 0.804 -9.587 1.604 -0.366 -4.334 1.190 115.575 3001.944 -2879.624 -0.099 -0.047 0.050 -0.01 -0.64 0.76 0.06
1 0.38 38 0.742 -9.673 1.609 -0.336 -3.876 1.862 -19.337 2836.902 -2819.663 -0.037 0.039 0.045 -0.01 -0.64 0.76 0.06
1 0.39 39 0.690 -9.812 1.733 0.793 -4.120 1.190 -19.337 2836.902 -2819.663 0.016 0.178 -0.079 -0.01 -0.64 0.76 0.06
1 0.40 40 0.685 -9.735 1.489 0.671 -3.815 1.160 40.474 3001.944 -2879.624 0.021 0.102 0.168 -0.01 -0.64 0.76 0.06
1 0.41 41 0.742 -9.673 1.700 0.977 -3.754 1.678 100.584 2911.853 -2969.565 -0.037 0.040 -0.042 -0.01 -0.64 0.76 0.06
1 0.42 42 0.828 -9.702 1.676 1.587 -3.448 1.007 -64.308 2821.912 -2954.575 -0.123 0.069 -0.015 -0.01 -0.64 0.76 0.06
1 0.43 43 0.833 -9.687 1.633 1.373 -3.021 1.526 -19.337 2791.931 -2864.634 -0.126 0.056 0.031 -0.01 -0.64 0.76 0.06
1 0.44 44 0.728 -9.750 1.604 0.793 -2.930 1.373 -19.337 2791.931 -2864.634 -0.020 0.119 0.064 -0.01 -0.64 0.76 0.06
1 0.45 45 0.651 -9.764 1.690 -0.153 -2.869 1.007 175.536 2761.951 -2894.614 0.058 0.134 -0.017 -0.01 -0.64 0.76 0.06
1 0.46 46 0.742 -9.740 1.676 0.153 -3.265 1.129 175.536 2761.951 -2894.614 -0.033 0.110 -0.002 -0.01 -0.64 0.76 0.06
1 0.47 47 0.723 -9.817 1.757 -0.397 -2.777 1.160 -34.328 2971.814 -2804.673 -0.013 0.187 -0.083 -0.01 -0.64 0.76 0.06
1 0.48 48 0.776 -9.635 1.791 -0.519 -2.991 1.221 100.584 2791.931 -2924.595 -0.065 0.005 -0.115 -0.01 -0.64 0.76 0.06
1 0.49 49 0.814 -9.812 1.695 -0.153 -3.876 1.221 25.483 2956.824 -2924.595 -0.103 0.183 -0.018 -0.01 -0.64 0.76 0.06
1 0.50 50 0.685 -9.745 1.652 0.122 -3.937 1.038 70.604 2896.863 -2879.624 0.027 0.116 0.026 -0.01 -0.64 0.76 0.06
1 0.51 51 0.713 -9.721 1.820 0.732 -3.387 0.916 70.604 2896.863 -2879.624 -0.002 0.092 -0.141 -0 -0.64 0.76 0.06
1 0.52 52 0.771 -9.750 1.748 0.488 -3.418 1.404 -64.308 2971.814 -2804.673 -0.058 0.122 -0.063 -0 -0.64 0.76 0.06
1 0.53 53 0.723 -9.601 1.757 0.427 -3.357 1.282 -64.308 2971.814 -2804.673 -0.011 -0.026 -0.070 -0 -0.64 0.76 0.06
1 0.54 54 0.680 -9.678 1.714 0.000 -2.808 0.671 -49.318 2881.873 -2744.562 0.032 0.051 -0.025 -0 -0.64 0.76 0.06
1 0.55 55 0.848 -9.750 1.642 -0.427 -3.113 1.648 70.604 2926.843 -2909.604 -0.135 0.123 0.048 -0 -0.64 0.76 0.06
1 0.56 56 0.747 -9.759 1.681 -1.099 -3.204 1.251 10.493 2971.814 -2909.604 -0.035 0.132 0.010 -0 -0.64 0.76 0.06
1 0.57 57 0.675 -9.788 1.628 -0.854 -3.265 1.221 40.474 2821.912 -2834.653 0.037 0.161 0.062 -0 -0.64 0.76 0.06
1 0.58 58 0.718 -9.783 1.705 -0.885 -2.686 0.854 40.474 2821.912 -2834.653 -0.006 0.156 -0.014 -0 -0.64 0.76 0.06
1 0.59 59 0.723 -9.673 1.666 -1.129 -3.082 1.038 70.604 2821.912 -2879.624 -0.010 0.046 0.024 -0 -0.64 0.76 0.06
1 0.60 60 0.632 -9.817 1.714 -1.038 -3.204 0.793 70.604 2821.912 -2879.624 0.080 0.190 -0.024 -0 -0.64 0.76 0.06
1 0.61 61 0.651 -9.745 1.714 -1.556 -2.991 0.885 25.483 2911.853 -2999.546 0.061 0.118 -0.024 -0 -0.64 0.76 0.06
1 0.62 62 0.666 -9.730 1.671 -1.526 -2.991 1.129 100.584 2881.873 -2969.565 0.047 0.103 0.018 -0 -0.64 0.76 0.06
1 0.63 63 0.819 -9.730 1.633 -1.892 -2.747 0.854 25.483 2881.873 -2819.663 -0.107 0.103 0.055 -0 -0.64 0.76 0.06
1 0.64 64 0.699 -9.793 1.772 -1.556 -2.838 0.671 -64.308 2926.843 -3029.676 0.014 0.165 -0.085 -0 -0.64 0.76 0.06
1 0.65 65 0.666 -9.908 1.781 -0.793 -2.289 1.221 -64.308 2926.843 -3029.676 0.047 0.280 -0.095 -0 -0.64 0.76 0.06
1 0.66 66 0.895 -9.817 1.757 -0.641 -2.350 1.068 55.614 2791.931 -2924.595 -0.183 0.189 -0.071 -0 -0.64 0.76 0.06
1 0.67 67 0.785 -9.726 1.796 -0.641 -2.563 0.885 55.614 2791.931 -2924.595 -0.071 0.099 -0.107 -0 -0.64 0.76 0.06
1 0.68 68 0.857 -9.659 1.791 -0.305 -1.862 1.434 70.604 2896.863 -2774.542 -0.143 0.032 -0.102 -0 -0.64 0.76 0.06
1 0.69 69 0.781 -9.740 1.757 -0.610 -1.160 0.549 10.493 2821.912 -2954.575 -0.065 0.113 -0.067 -0 -0.64 0.76 0.06
1 0.70 70 0.819 -9.663 1.791 -0.488 -1.007 0.885 10.493 2821.912 -2954.575 -0.103 0.037 -0.100 -0 -0.64 0.76 0.06
1 0.71 71 0.795 -9.740 1.772 -0.458 -0.275 0.793 40.474 2821.912 -2879.624 -0.079 0.114 -0.081 -0 -0.64 0.76 0.06
1 0.72 72 0.757 -9.635 1.743 -1.190 -0.305 0.549 40.474 2821.912 -2879.624 -0.041 0.008 -0.052 -0 -0.64 0.76 0.06
1 0.73 73 0.819 -9.654 1.690 -1.312 -0.336 0.702 -19.337 2791.931 -2924.595 -0.103 0.027 0.001 -0 -0.64 0.76 0.06
1 0.74 74 0.766 -9.654 1.662 -1.404 -0.031 0.275 -19.337 2791.931 -2924.595 -0.050 0.028 0.030 -0 -0.64 0.76 0.06
1 0.75 75 0.790 -9.783 1.772 -1.770 0.031 0.641 -94.289 2911.853 -2819.663 -0.073 0.157 -0.080 -0 -0.64 0.76 0.06
1 0.76 76 0.747 -9.706 1.657 -1.556 0.122 0.580 -19.337 2911.853 -2969.565 -0.029 0.080 0.035 -0 -0.64 0.76 0.06
1 0.77 77 0.670 -9.807 1.695 -1.343 0.122 1.038 -19.337 2911.853 -2969.565 0.047 0.181 -0.003 -0 -0.64 0.76 0.06
1 0.78 78 0.694 -9.750 1.853 -1.343 -0.061 1.007 -34.328 2851.892 -2879.624 0.023 0.123 -0.161 -0 -0.64 0.76 0.06
1 0.79 79 0.737 -9.668 1.676 -1.221 0.336 0.916 -34.328 2851.892 -2879.624 -0.020 0.042 0.017 -0 -0.64 0.76 0.06
1 0.80 80 0.747 -9.687 1.690 -0.824 0.397 0.458 55.614 2881.873 -2924.595 -0.030 0.061 0.002 -0 -0.64 0.76 0.06
1 0.81 81 0.742 -9.721 1.642 -0.580 0.610 1.129 55.614 2881.873 -2924.595 -0.024 0.095 0.050 -0 -0.64 0.76 0.06
1 0.82 82 0.862 -9.788 1.710 -0.092 1.129 0.763 -139.259 2926.843 -2879.624 -0.144 0.162 -0.015 -0 -0.64 0.76 0.06
1 0.83 83 0.872 -9.697 1.652 -1.282 0.702 0.946 25.483 3061.905 -2999.546 -0.153 0.071 0.042 -0 -0.64 0.76 0.06
1 0.84 84 0.800 -9.601 1.753 -0.977 1.129 0.092 25.483 3061.905 -2999.546 -0.081 -0.025 -0.058 -0 -0.64 0.76 0.06
1 0.85 85 0.771 -9.615 1.652 -1.587 1.343 0.824 -19.337 2911.853 -2789.533 -0.051 -0.010 0.042 -0 -0.64 0.76 0.06
1 0.86 86 0.828 -9.750 1.619 -1.617 0.916 0.854 -19.337 2911.853 -2789.533 -0.108 0.124 0.075 -0 -0.64 0.76 0.06
